Year;"Value of global merchandise exports as a share of GDP (Fouquin and Hugot; CEPII 2016; National data)"
1844;6,5877
1845;5,73448
1846;4,28651
1847;4,16872
1848;2,84007
1849;1,97578
1850;7,50994
1851;8,20881
1852;8,82293
1853;6,45683
1854;9,49309
1855;8,70752
1856;9,45895
1857;11,86569
1858;15,04889
1859;15,05661
1860;17,49387
1861;17,02676
1862;15,83763
1863;13,85268
1864;31,894
1865;23,09613
1866;20,00394
1867;15,42459
1868;18,34964
1869;21,35319
1870;18,17409
1871;18,19088
1872;22,25283
1873;16,79507
1874;21,88398
1875;30,31269
1876;14,87785
1877;12,75343
1878;15,92893
1879;17,62624
1880;18,3117
1881;19,47226
1882;16,68746
1883;13,64119
1884;9,86527
1885;6,76763
1886;8,21904
1887;10,76318
1888;9,34203
1889;8,38926
1890;11,07641
1891;16,31073
1892;8,5824
1893;9,61026
1894;8,88697
1895;8,94843
1896;10,94479
1897;9,98195
1898;10,76807
1899;10,3721
1900;7,27069
1901;7,02716
1902;5,80531
1903;7,15693
1904;10,78659
1905;7,62358
1906;8,59266
1907;8,94021
1908;6,9196
1909;7,41112
1910;7,35304
1911;8,22063
1912;9,06396
1913;10,75464
1914;10,00717
1915;8,10073
1916;9,67517
1917;9,52353
1918;9,80515
1919;18,2276
1920;12,1
1921;10,40859
1922;8,65185
1923;9,07526
1924;11,84615
1925;10,08777
1926;10,78733
1927;10,02083
1928;10,31928
1929;10,1916
1930;11,06746
1931;13,30128
1932;10,01306
1933;9,35456
1934;11,55748
1935;10,8911
1936;10,80294
1937;11,46379
1938;9,07179
1939;7,80131
1940;6,9131
1941;7,58663
1942;8,83375
1943;9,34408
1944;8,04146
1945;6,95253
1946;8,35633
1947;8,78797
1948;9,17283
1949;9,05442
1950;9,67052
1951;12,80714
1952;13,47882
1953;14,54667
1954;13,69355
1955;12,16025
1956;10,4513
1957;12,66222
1958;16,20902
1959;14,74135
1960;12,82471
1961;11,12848
1962;10,37758
1963;10,6232
1964;9,73988
1965;11,11906
1966;10,82416
1967;10,24337
1968;10,11196
1969;9,98831
1970;10,98414
1971;9,46542
1972;10,40404
1973;11,37598
1974;12,25407
1975;13,01897
1976;13,34212
1977;13,47975
1978;13,43478
1979;13,62539
1980;13,02285
1981;9,33077
1982;8,43468
1983;8,30925
1984;9,29
1985;11,02159
1986;15,94832
1987;15,05222
1988;14,06222
1989;15,27859
1990;17,38407
1991;17,56707
1992;15,4305
1993;13,40934
1994;11,06205
1995;11,8492
1996;11,65921
1997;11,65939
1998;12,34029
1999;14,65096
2000;14,39382
2001;14,0364
2002;13,69277
2003;15,67168
2004;16,61825
2005;16,43429
2006;16,40168
2007;15,70722
2008;17,94812
2009;14,59325
2010;14,21871
2011;16,84997
2012;16,721
2013;15,76371
2014;15,75834
